HOLDDATE,LGCYINVESTORID,Delta
2011-03-31,2001989,9.209246866836597e-06
2011-06-30,2001989,7.384259679320106e-06
2011-09-30,2001989,1.0152083522643829e-05
2011-12-31,2001989,7.1540195272962996e-06
2012-03-31,2001989,3.252514751552185e-06
2012-06-30,2001989,6.302224810651157e-06
2012-09-30,2001989,6.893996039494032e-06
2012-12-31,2001989,5.6588588984535285e-06
2013-03-31,2001989,8.000921517883009e-06
2013-06-30,2001989,6.492571389733418e-06
2013-09-30,2001989,2.4738701091550134e-06
2013-12-31,2001989,2.5946446242820567e-06
2014-03-31,2001989,3.987129261465177e-06
2014-06-30,2001989,2.0291979771602046e-06
2014-09-30,2001989,6.693288063696531e-06
2014-12-31,2001989,1.0678633645422172e-06
2015-03-31,2001989,5.611134202150887e-06
2015-06-30,2001989,1.7410867087248006e-06
2015-09-30,2001989,2.08648638445265e-06
2015-12-31,2001989,2.885857243055746e-06
2016-03-31,2001989,2.700703249784689e-06
2016-06-30,2001989,1.7209478407817955e-06
2016-09-30,2001989,2.062734597238472e-06
2016-12-31,2001989,2.469246518155898e-06
2017-03-31,2001989,2.86674079392566e-06
2017-06-30,2001989,3.4989671375877807e-06
2017-09-30,2001989,1.3087191848886602e-06
2017-12-31,2001989,2.162682323119137e-06
2018-03-31,2001989,1.2807515509922395e-06
2018-06-30,2001989,1.677951535279345e-06
2018-09-30,2001989,2.284397019156203e-06
2018-12-31,2001989,3.3354589769978386e-06
2019-03-31,2001989,2.457370429513622e-06
2019-06-30,2001989,1.22516148965148e-06
2019-09-30,2001989,1.7043215919092916e-06
2019-12-31,2001989,4.187252582997757e-06
2020-03-31,2001989,8.208771593701668e-06
2020-06-30,2001989,7.637696855413283e-06
2010-06-30,2001999,1.7060775094230494e-06
2010-09-30,2001999,2.1955193805763159e-07
2010-12-31,2001999,1.497249952949422e-07
2011-03-31,2001999,1.194574883051067e-07
2011-06-30,2001999,1.0823892596242605e-07
2011-09-30,2001999,1.5869122769415955e-07
2011-12-31,2001999,8.36295316608192e-08
2012-03-31,2001999,1.0471796466073514e-07
2012-06-30,2001999,1.4719101504374198e-07
2012-09-30,2001999,9.328170755442994e-08
2012-12-31,2001999,1.9440151837823557e-07
2013-03-31,2001999,1.9829981648615886e-07
2013-06-30,2001999,1.3463857166281665e-07
2013-09-30,2001999,5.841914007577603e-08
2013-12-31,2001999,1.37884997180775e-07
2014-03-31,2001999,8.167314611886705e-08
2014-06-30,2001999,1.3958089578161035e-07
2014-09-30,2001999,5.850934377399382e-08
2014-12-31,2001999,6.311188302228307e-08
2015-03-31,2001999,8.13066359849625e-08
2015-06-30,2001999,6.012404369861941e-08
2015-09-30,2001999,9.013962902567043e-08
2015-12-31,2001999,7.800370988504214e-08
2016-03-31,2001999,1.8727368248078797e-07
2016-06-30,2001999,7.517601370398553e-08
2016-09-30,2001999,7.836572224854031e-08
2016-12-31,2001999,6.468191613058393e-08
2017-03-31,2001999,5.0238624841398e-08
2017-06-30,2001999,3.032913437317544e-08
2017-09-30,2001999,4.678800303417344e-08
2017-12-31,2001999,4.443763723538045e-08
2018-03-31,2001999,2.901442162988241e-07
2018-06-30,2001999,7.043877351093862e-08
2018-09-30,2001999,6.798709572944278e-08
2018-12-31,2001999,8.817881857479694e-08
2019-03-31,2001999,4.513817626323129e-08
2019-06-30,2001999,7.997524768401822e-08
2019-09-30,2001999,4.9563996148859104e-08
2019-12-31,2001999,7.570882664458443e-08
2020-03-31,2001999,1.2458645250216309e-07
2020-06-30,2001999,1.1557316556593645e-07
2010-06-30,2002019,0.0025164268947906704
2010-09-30,2002019,2.361676399622099e-05
2010-12-31,2002019,3.45243930323789e-05
2011-03-31,2002019,1.336213942564222e-05
2011-06-30,2002019,0.00022730942624321317
2011-09-30,2002019,0.0003336511115624892
2011-12-31,2002019,2.4867061489832395e-05
2012-03-31,2002019,2.6802005264792998e-05
2012-06-30,2002019,3.189433166181763e-05
2012-09-30,2002019,1.6710445038662373e-05
