HOLDDATE,0,1,2,3,4,5,6,7,8,9
2014-12-31,"Geode Capital Management, L.L.C.","BlackRock Institutional Trust Company, N.A.","Dimensional Fund Advisors, L.P.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.",Legal & General Investment Management Ltd.,State Street Global Advisors (US),"Charles Schwab Investment Management, Inc.",BlackRock Asset Management Ireland Limited,"BlackRock Investment Management, LLC"
2015-03-31,"Northern Trust Investments, Inc.","Dimensional Fund Advisors, L.P.",Northern Trust Global Investments,"The Vanguard Group, Inc.","BlackRock Institutional Trust Company, N.A.","Geode Capital Management, L.L.C.","Charles Schwab Investment Management, Inc.",State Street Global Advisors (US),"U.S. Bancorp Asset Management, Inc.",Legal & General Investment Management Ltd.
2015-06-30,"The Vanguard Group, Inc.","BlackRock Institutional Trust Company, N.A.",BNY Mellon Asset Management,"Northern Trust Investments, Inc.","Dimensional Fund Advisors, L.P.",Northern Trust Global Investments,"Charles Schwab Investment Management, Inc.",Legal & General Investment Management Ltd.,BlackRock Asset Management Ireland Limited,"Geode Capital Management, L.L.C."
2015-09-30,"BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Dimensional Fund Advisors, L.P.","Northern Trust Investments, Inc.",BNY Mellon Asset Management,"Charles Schwab Investment Management, Inc.","U.S. Bancorp Asset Management, Inc.",Northern Trust Global Investments,"Geode Capital Management, L.L.C.",Guggenheim Investments
2015-12-31,"The Vanguard Group, Inc.","BlackRock Institutional Trust Company, N.A.","Northern Trust Investments, Inc.","Dimensional Fund Advisors, L.P.",BNY Mellon Asset Management,"Geode Capital Management, L.L.C.","Charles Schwab Investment Management, Inc.","BlackRock Investment Management, LLC",Northern Trust Global Investments,BlackRock Investment Management (UK) Ltd.
2016-03-31,"BlackRock Institutional Trust Company, N.A.","Northern Trust Investments, Inc.","The Vanguard Group, Inc.","Geode Capital Management, L.L.C.","Dimensional Fund Advisors, L.P.",BNY Mellon Asset Management,State Street Global Advisors (US),Northern Trust Global Investments,"U.S. Bancorp Asset Management, Inc.","Charles Schwab Investment Management, Inc."
2016-06-30,"BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.","U.S. Bancorp Asset Management, Inc.","Geode Capital Management, L.L.C.","Dimensional Fund Advisors, L.P.",State Street Global Advisors (US),BNY Mellon Asset Management,"Charles Schwab Investment Management, Inc.",Northern Trust Global Investments
2016-09-30,"BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Dimensional Fund Advisors, L.P.","Northern Trust Investments, Inc.","Geode Capital Management, L.L.C.","U.S. Bancorp Asset Management, Inc.",BNY Mellon Asset Management,"Charles Schwab Investment Management, Inc.",State Street Global Advisors (US),"BlackRock Investment Management, LLC"
2016-12-31,"BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Dimensional Fund Advisors, L.P.","Geode Capital Management, L.L.C.","Northern Trust Investments, Inc.",BNY Mellon Asset Management,"Charles Schwab Investment Management, Inc.",BlackRock Asset Management Canada Limited,State Street Global Advisors (US),"U.S. Bancorp Asset Management, Inc."
2017-03-31,"BlackRock Institutional Trust Company, N.A.","Dimensional Fund Advisors, L.P.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.",BNY Mellon Asset Management,"Geode Capital Management, L.L.C.",State Street Global Advisors (US),Northern Trust Global Investments,BlackRock Asset Management Canada Limited,"U.S. Bancorp Asset Management, Inc."
2017-06-30,"BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.",State Street Global Advisors (US),"Geode Capital Management, L.L.C.","Charles Schwab Investment Management, Inc.","Dimensional Fund Advisors, L.P.",BNY Mellon Asset Management,"Northern Trust Investments, Inc.",BlackRock Asset Management Canada Limited,"U.S. Bancorp Asset Management, Inc."
2017-09-30,"Dimensional Fund Advisors, L.P.","BlackRock Institutional Trust Company, N.A.",Northern Trust Global Investments,"U.S. Bancorp Asset Management, Inc.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.","UBS Financial Services, Inc.","Geode Capital Management, L.L.C.",BNY Mellon Asset Management,State Street Global Advisors (US)
2017-12-31,"BlackRock Institutional Trust Company, N.A.","Dimensional Fund Advisors, L.P.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.","Geode Capital Management, L.L.C.",State Street Global Advisors (US),BNY Mellon Asset Management,"Charles Schwab Investment Management, Inc.",Legal & General Investment Management Ltd.,BlackRock Asset Management Canada Limited
2018-03-31,"Dimensional Fund Advisors, L.P.","BlackRock Institutional Trust Company, N.A.",Northern Trust Global Investments,"The Vanguard Group, Inc.","Northern Trust Investments, Inc.",State Street Global Advisors (US),BNY Mellon Asset Management,"Geode Capital Management, L.L.C.",Legal & General Investment Management Ltd.,"BlackRock Investment Management, LLC"
2018-06-30,"BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.",Northern Trust Global Investments,"Dimensional Fund Advisors, L.P.","Charles Schwab Investment Management, Inc.","Northern Trust Investments, Inc.","U.S. Bancorp Asset Management, Inc.",Legal & General Investment Management Ltd.,BNY Mellon Asset Management,"Geode Capital Management, L.L.C."
2018-09-30,"Dimensional Fund Advisors, L.P.","BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.","Geode Capital Management, L.L.C.","Charles Schwab Investment Management, Inc.","U.S. Bancorp Asset Management, Inc.",BNY Mellon Asset Management,BlackRock Asset Management Canada Limited,Legal & General Investment Management Ltd.
2018-12-31,"Dimensional Fund Advisors, L.P.","BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.",Northern Trust Global Investments,SEI Investments Management Corporation,"Northern Trust Investments, Inc.","Charles Schwab Investment Management, Inc.","U.S. Bancorp Asset Management, Inc.","Geode Capital Management, L.L.C.",BNY Mellon Asset Management
2019-03-31,"BlackRock Institutional Trust Company, N.A.","Dimensional Fund Advisors, L.P.","The Vanguard Group, Inc.","Geode Capital Management, L.L.C.","Northern Trust Investments, Inc.",BNY Mellon Asset Management,"U.S. Bancorp Asset Management, Inc.",Northern Trust Global Investments,State Street Global Advisors (US),"MetLife Investment Management, LLC"
2019-06-30,"Dimensional Fund Advisors, L.P.","BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.",Northern Trust Global Investments,"Northern Trust Investments, Inc.","Geode Capital Management, L.L.C.","Charles Schwab Investment Management, Inc.",State Street Global Advisors (US),Legal & General Investment Management Ltd.,BNY Mellon Asset Management
2019-09-30,"Dimensional Fund Advisors, L.P.","BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.","Charles Schwab Investment Management, Inc.","Geode Capital Management, L.L.C.",Northern Trust Global Investments,Legal & General Investment Management Ltd.,BNY Mellon Asset Management,State Street Global Advisors (US)
2019-12-31,"Dimensional Fund Advisors, L.P.","BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","U.S. Bancorp Asset Management, Inc.",Northern Trust Global Investments,"Northern Trust Investments, Inc.","Geode Capital Management, L.L.C.","Charles Schwab Investment Management, Inc.",State Street Global Advisors (US),Principal Global Investors (Equity)
2020-03-31,"Dimensional Fund Advisors, L.P.","UBS Financial Services, Inc.","BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.",Northern Trust Global Investments,"Northern Trust Investments, Inc.","Geode Capital Management, L.L.C.",State Street Global Advisors (US),Legal & General Investment Management Ltd.,"BlackRock Investment Management, LLC"
2020-06-30,"Dimensional Fund Advisors, L.P.",Northern Trust Global Investments,"BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","UBS Financial Services, Inc.",Legal & General Investment Management Ltd.,State Street Global Advisors (US),"Northern Trust Investments, Inc.","Geode Capital Management, L.L.C.","U.S. Bancorp Asset Management, Inc."
