HOLDDATE,0,1,2,3,4,5,6,7,8,9
3/31/2015,"King Street Capital Management, L.P.","MKP Capital Management, L.L.C.","Pershing Square Capital Management, L.P.","Virtus Investment Advisers, Inc.","Cerberus Capital Management, L.P.","Apollo Global Management, LLC","Brookfield Asset Management, Inc.","GoldenTree Asset Management, LP","Graham Capital Management, L.P.",Cheyne Capital Management (UK) LLP
6/30/2015,"King Street Capital Management, L.P.","MKP Capital Management, L.L.C.","Virtus Investment Advisers, Inc.","Cerberus Capital Management, L.P.","Trian Fund Management, L.P.",Cheyne Capital Management (UK) LLP,"GoldenTree Asset Management, LP","Tiger Global Management, L.L.C.","Xponance, Inc.","Apollo Global Management, LLC"
9/30/2015,"King Street Capital Management, L.P.","Apollo Global Management, LLC","MKP Capital Management, L.L.C.","Virtus Investment Advisers, Inc.",CarVal Investors L.P.,Sun Life Assurance Company of Canada (Toronto),Cheyne Capital Management (UK) LLP,"Pershing Square Capital Management, L.P.",Lindsell Train Limited,"Trian Fund Management, L.P."
12/31/2015,"King Street Capital Management, L.P.",CarVal Investors L.P.,"Virtus Investment Advisers, Inc.",Capula Investment Management LLP,"Graham Capital Management, L.P.",Cheyne Capital Management (UK) LLP,"Apollo Global Management, LLC","Cerberus Capital Management, L.P.","Pershing Square Capital Management, L.P.","Brigade Capital Management, LP"
3/31/2016,Capula Investment Management LLP,CarVal Investors L.P.,"Virtus Investment Advisers, Inc.","Graham Capital Management, L.P.",Cheyne Capital Management (UK) LLP,"Beach Point Capital Management, LP","Pershing Square Capital Management, L.P.","Cerberus Capital Management, L.P.","Trian Fund Management, L.P.","Oaktree Capital Management, L.P."
6/30/2016,"MKP Capital Management, L.L.C.",CarVal Investors L.P.,Capula Investment Management LLP,"Virtus Investment Advisers, Inc.","Centerbridge Partners, L.P.","Apollo Global Management, LLC","Cerberus Capital Management, L.P.",Cheyne Capital Management (UK) LLP,"Tiger Global Management, L.L.C.",GAM Capital Management (Switzerland) AG
9/30/2016,"MKP Capital Management, L.L.C.",Capula Investment Management LLP,"Pershing Square Capital Management, L.P.",Cheyne Capital Management (UK) LLP,Ares Management LLC,GAM Capital Management (Switzerland) AG,"Graham Capital Management, L.P.","Oaktree Capital Management, L.P.","GoldenTree Asset Management, LP","Centerbridge Partners, L.P."
12/31/2016,"MKP Capital Management, L.L.C.",CarVal Investors L.P.,"Cerberus Capital Management, L.P.",Capula Investment Management LLP,"King Street Capital Management, L.P.","Silver Point Capital, L.P.",GAM Capital Management (Switzerland) AG,Benefit Street Partners L.L.C.,Cheyne Capital Management (UK) LLP,"Pershing Square Capital Management, L.P."
3/31/2017,"MKP Capital Management, L.L.C.",Capula Investment Management LLP,CarVal Investors L.P.,"Apollo Global Management, LLC",The Blackstone Group,"King Street Capital Management, L.P.",Benefit Street Partners L.L.C.,"Trian Fund Management, L.P.","Spectrum Asset Management, Inc.","Element Capital Management, LLC"
6/30/2017,"MKP Capital Management, L.L.C.",Capula Investment Management LLP,CarVal Investors L.P.,Ares Management LLC,"Centerbridge Partners, L.P.","Apollo Global Management, LLC","Cerberus Capital Management, L.P.","Brigade Capital Management, LP",Cheyne Capital Management (UK) LLP,"King Street Capital Management, L.P."
9/30/2017,"MKP Capital Management, L.L.C.",CarVal Investors L.P.,"Spectrum Asset Management, Inc.",Capula Investment Management LLP,The Blackstone Group,"Pershing Square Capital Management, L.P.",Cheyne Capital Management (UK) LLP,Benefit Street Partners L.L.C.,"Element Capital Management, LLC","GoldenTree Asset Management, LP"
12/31/2017,Capula Investment Management LLP,"Cerberus Capital Management, L.P.",CarVal Investors L.P.,Benefit Street Partners L.L.C.,"Silver Point Capital, L.P.","Franklin Templeton Investimentos (Brasil), Ltda.","Apollo Global Management, LLC",Cheyne Capital Management (UK) LLP,"Element Capital Management, LLC","Pershing Square Capital Management, L.P."
3/31/2018,Tilden Park Capital Management LP,"MKP Capital Management, L.L.C.",Capula Investment Management LLP,"Apollo Global Management, LLC","Cerberus Capital Management, L.P.",Benefit Street Partners L.L.C.,"Silver Point Capital, L.P.","King Street Capital Management, L.P.",CarVal Investors L.P.,"GoldenTree Asset Management, LP"
6/30/2018,Tilden Park Capital Management LP,"MKP Capital Management, L.L.C.","Hartford Funds Management Company, LLC",Capula Investment Management LLP,Cevian Capital,Cheyne Capital Management (UK) LLP,"King Street Capital Management, L.P.",CarVal Investors L.P.,"Centerbridge Partners, L.P.","Fortress Investment Group, L.L.C."
9/30/2018,Tilden Park Capital Management LP,"MKP Capital Management, L.L.C.","Hartford Funds Management Company, LLC",Cevian Capital,Capula Investment Management LLP,CarVal Investors L.P.,Benefit Street Partners L.L.C.,"Fortress Investment Group, L.L.C.","Virtus Investment Advisers, Inc.","Centerbridge Partners, L.P."
12/31/2018,"MKP Capital Management, L.L.C.",Tilden Park Capital Management LP,"Spectrum Asset Management, Inc.",Cevian Capital,"Hartford Funds Management Company, LLC",Capula Investment Management LLP,"Silver Point Capital, L.P.","Virtus Investment Advisers, Inc.","Pershing Square Capital Management, L.P.","Graham Capital Management, L.P."
3/31/2019,"MKP Capital Management, L.L.C.",Capula Investment Management LLP,Tilden Park Capital Management LP,"Spectrum Asset Management, Inc.","Silver Point Capital, L.P.",CarVal Investors L.P.,"Centerbridge Partners, L.P.","Graham Capital Management, L.P.","Highfields Capital Management, L.P.","Cerberus Capital Management, L.P."
6/30/2019,Tilden Park Capital Management LP,"MKP Capital Management, L.L.C.","Highfields Capital Management, L.P.",Capula Investment Management LLP,"Cerberus Capital Management, L.P.",Cheyne Capital Management (UK) LLP,"King Street Capital Management, L.P.","Pershing Square Capital Management, L.P.","Centerbridge Partners, L.P.","Appaloosa Management, L.P."
9/30/2019,Tilden Park Capital Management LP,Quilter Investors Limited,"BlueMountain Capital Management, LLC","Centerbridge Partners, L.P.",CarVal Investors L.P.,"New York Life Investment Management, LLC","Highfields Capital Management, L.P.",Cevian Capital,"Cerberus Capital Management, L.P.",Kynikos Associates LP
12/31/2019,"Highfields Capital Management, L.P.",Quilter Investors Limited,"Pharo Management, Inc.","BlueMountain Capital Management, LLC",CarVal Investors L.P.,"King Street Capital Management, L.P.","Bracebridge Capital, LLC","Anchorage Capital Group, L.L.C.","MKP Capital Management, L.L.C.",Kynikos Associates LP
3/31/2020,"Pharo Management, Inc.","Cerberus Capital Management, L.P.","Bracebridge Capital, LLC","King Street Capital Management, L.P.","Anchorage Capital Group, L.L.C.",Kynikos Associates LP,"MKP Capital Management, L.L.C.","Fortress Investment Group, L.L.C.","Element Capital Management, LLC",Cheyne Capital Management (UK) LLP
6/30/2020,"Cerberus Capital Management, L.P.","Spectrum Asset Management, Inc.",Ares Management LLC,"Beach Point Capital Management, LP","Bracebridge Capital, LLC","Hartford Funds Management Company, LLC",Kynikos Associates LP,"Trian Fund Management, L.P.","King Street Capital Management, L.P.","Silver Point Capital, L.P."
